Review,Aspect,Sentiment,Score,Helpful_Votes
"Good quality omega 3 from a reputable brand. it is odorless and does not create any fishy burb. The capsule is quite large. This is made in Australia product, hope that they give the standard and quality expected out of the product. The price fluctuates, could be less.",price,neutral,0.0,0.0
"Good quality omega 3 from a reputable brand. it is odorless and does not create any fishy burb. The capsule is quite large. This is made in Australia product, hope that they give the standard and quality expected out of the product. The price fluctuates, could be less.",taste,neutral,0.0,0.0
"Good quality omega 3 from a reputable brand. it is odorless and does not create any fishy burb. The capsule is quite large. This is made in Australia product, hope that they give the standard and quality expected out of the product. The price fluctuates, could be less.",authenticity,positive,0.6,0.0
Good product,effectiveness,positive,0.7,0.0
"Usually i don't put much reviews but yes it has been just 4-5 days and I can feel some enhanced focus and overall good mood with less distractions. Remember, do not think what it is gonna do and how u can feel it's effect. Just take it normally and eventually you'll see the change.",side_effects,neutral,0.0,0.0
"Good product, but it should also mention clearly vitamin A and D levels in this product also, as people taking higher doses are vulnerable to vitamin A toxicity..so Mention vitamin A level also",effectiveness,positive,0.7,0.0
"Good product, but it should also mention clearly vitamin A and D levels in this product also, as people taking higher doses are vulnerable to vitamin A toxicity..so Mention vitamin A level also",health_impact,negative,-0.125,0.0
"I received this product a week back and I am fully satisfied with the product. In today’s life, our diet is not enough, and we need supplements to maintain our health. I got amazing results from this product. I think this the best fish oil capsules available online at very affordable price. No brands provide such nutritional value at this price. This is one of the best Australian gold standard health supplements. The packaging was so good. I recommend to others of having it on a regular basis to maintain immunity and health as it contains natural source of Omega-3 which supports heart, brain, eye & Joint Health. It also stimulates nervous system health. The best part of this capsule is its completely odorless and you will not feel any bad taste after consuming it. So, guys, don’t think and just GO for this product!!!!",effectiveness,positive,0.6,0.0
"I received this product a week back and I am fully satisfied with the product. In today’s life, our diet is not enough, and we need supplements to maintain our health. I got amazing results from this product. I think this the best fish oil capsules available online at very affordable price. No brands provide such nutritional value at this price. This is one of the best Australian gold standard health supplements. The packaging was so good. I recommend to others of having it on a regular basis to maintain immunity and health as it contains natural source of Omega-3 which supports heart, brain, eye & Joint Health. It also stimulates nervous system health. The best part of this capsule is its completely odorless and you will not feel any bad taste after consuming it. So, guys, don’t think and just GO for this product!!!!",packaging,positive,0.7,0.0
"I received this product a week back and I am fully satisfied with the product. In today’s life, our diet is not enough, and we need supplements to maintain our health. I got amazing results from this product. I think this the best fish oil capsules available online at very affordable price. No brands provide such nutritional value at this price. This is one of the best Australian gold standard health supplements. The packaging was so good. I recommend to others of having it on a regular basis to maintain immunity and health as it contains natural source of Omega-3 which supports heart, brain, eye & Joint Health. It also stimulates nervous system health. The best part of this capsule is its completely odorless and you will not feel any bad taste after consuming it. So, guys, don’t think and just GO for this product!!!!",taste,positive,0.1333,0.0
"I received this product a week back and I am fully satisfied with the product. In today’s life, our diet is not enough, and we need supplements to maintain our health. I got amazing results from this product. I think this the best fish oil capsules available online at very affordable price. No brands provide such nutritional value at this price. This is one of the best Australian gold standard health supplements. The packaging was so good. I recommend to others of having it on a regular basis to maintain immunity and health as it contains natural source of Omega-3 which supports heart, brain, eye & Joint Health. It also stimulates nervous system health. The best part of this capsule is its completely odorless and you will not feel any bad taste after consuming it. So, guys, don’t think and just GO for this product!!!!",authenticity,positive,0.25,0.0
"I received this product a week back and I am fully satisfied with the product. In today’s life, our diet is not enough, and we need supplements to maintain our health. I got amazing results from this product. I think this the best fish oil capsules available online at very affordable price. No brands provide such nutritional value at this price. This is one of the best Australian gold standard health supplements. The packaging was so good. I recommend to others of having it on a regular basis to maintain immunity and health as it contains natural source of Omega-3 which supports heart, brain, eye & Joint Health. It also stimulates nervous system health. The best part of this capsule is its completely odorless and you will not feel any bad taste after consuming it. So, guys, don’t think and just GO for this product!!!!",health_impact,neutral,0.0,0.0
"Few months before i purchased 200 capsules and consumed all. Product is good, no smell and no burp. In my observation when I consume this Omega 3 oil capsule and have morning walking/running it improves cardiac health. When missed both walking/running and omega 3 my resting heart rate was higher (around 60 bps) whereas when I continue both my resting heart rate dropped to 52-56. I feel this is good cardiac health condition.",effectiveness,positive,0.7,0.0
"Few months before i purchased 200 capsules and consumed all. Product is good, no smell and no burp. In my observation when I consume this Omega 3 oil capsule and have morning walking/running it improves cardiac health. When missed both walking/running and omega 3 my resting heart rate was higher (around 60 bps) whereas when I continue both my resting heart rate dropped to 52-56. I feel this is good cardiac health condition.",taste,neutral,0.0,0.0
"Few months before i purchased 200 capsules and consumed all. Product is good, no smell and no burp. In my observation when I consume this Omega 3 oil capsule and have morning walking/running it improves cardiac health. When missed both walking/running and omega 3 my resting heart rate was higher (around 60 bps) whereas when I continue both my resting heart rate dropped to 52-56. I feel this is good cardiac health condition.",authenticity,positive,0.7,0.0
"Few months before i purchased 200 capsules and consumed all. Product is good, no smell and no burp. In my observation when I consume this Omega 3 oil capsule and have morning walking/running it improves cardiac health. When missed both walking/running and omega 3 my resting heart rate was higher (around 60 bps) whereas when I continue both my resting heart rate dropped to 52-56. I feel this is good cardiac health condition.",health_impact,neutral,-0.05,0.0
Very very good product to consume without getting fishy burps or taste. Please buy a pack of 40 first. The gelatin capsule slips in the mouth with water and it is comfortable and easy to swallow. Gelatins are very soft and safe to consume.,effectiveness,negative,-0.455,0.0
Very very good product to consume without getting fishy burps or taste. Please buy a pack of 40 first. The gelatin capsule slips in the mouth with water and it is comfortable and easy to swallow. Gelatins are very soft and safe to consume.,taste,negative,-0.455,0.0
"When my large stock of Microgenics Omega-3 capsules (which I purchased abroad) got over, I started ordering various local Omega-3 capsules. All of these were absolutely sub-standard. How do I know? Well, I have been taking this supplement for the last ten years, and taking the local stuff was clearly not showing any signs. In fact, all the long-standing benefits were starting to disappear. So, out of sheer helplessness, I searched for a foreign source and found one that was (though expensive compared to its price abroad) quite reasonable. I bought this Swisse Ultiboost product and I can feel the difference. My search is over. I bought this product a few weeks ago and am happy. I will be ordering this product in future as well.",effectiveness,neutral,0.0,0.0
"When my large stock of Microgenics Omega-3 capsules (which I purchased abroad) got over, I started ordering various local Omega-3 capsules. All of these were absolutely sub-standard. How do I know? Well, I have been taking this supplement for the last ten years, and taking the local stuff was clearly not showing any signs. In fact, all the long-standing benefits were starting to disappear. So, out of sheer helplessness, I searched for a foreign source and found one that was (though expensive compared to its price abroad) quite reasonable. I bought this Swisse Ultiboost product and I can feel the difference. My search is over. I bought this product a few weeks ago and am happy. I will be ordering this product in future as well.",side_effects,neutral,0.0,0.0
"When my large stock of Microgenics Omega-3 capsules (which I purchased abroad) got over, I started ordering various local Omega-3 capsules. All of these were absolutely sub-standard. How do I know? Well, I have been taking this supplement for the last ten years, and taking the local stuff was clearly not showing any signs. In fact, all the long-standing benefits were starting to disappear. So, out of sheer helplessness, I searched for a foreign source and found one that was (though expensive compared to its price abroad) quite reasonable. I bought this Swisse Ultiboost product and I can feel the difference. My search is over. I bought this product a few weeks ago and am happy. I will be ordering this product in future as well.",health_impact,neutral,0.0,0.0
Very Good product. Quite Effective,effectiveness,positive,0.6,0.0
Quality capsule,effectiveness,neutral,0.0,0.0
Quality capsule,taste,neutral,0.0,0.0
Odour free capsules,taste,positive,0.4,0.0
Have been using from past 20 day’s. There are no fishy burp’s. Ideal for vegans. Significant hairfall reduction. Best one. Trustable. No side effects soo far. But size of medicine was bit big. I habituated to it.,taste,neutral,0.0,0.0
Have been using from past 20 day’s. There are no fishy burp’s. Ideal for vegans. Significant hairfall reduction. Best one. Trustable. No side effects soo far. But size of medicine was bit big. I habituated to it.,side_effects,positive,0.1,0.0
No fishy aftertaste. Capsules are coated with a mild flavour doesn't feel bad in the mouth.Found useful for joint pain. Only downside is capsule size. If company works in this aspect nothing can be much better.,effectiveness,positive,0.3,0.0
No fishy aftertaste. Capsules are coated with a mild flavour doesn't feel bad in the mouth.Found useful for joint pain. Only downside is capsule size. If company works in this aspect nothing can be much better.,taste,negative,-0.1833,0.0
They use beaf to make it and hide from customers. Also when you use it couse skin irritations,effectiveness,neutral,0.0,0.0
"Guys if ap achi fish oil try krna chahte ho or jispe bad smell bhi na ho to definitely try these capsules nd as you already know about the benefits of the capsules it is very healthy and must have to include in your diet .and plus point is budget friendly. These are higher EPA & DHA more fish oil per capsule than 1000mg standard fish oil capsules no fishy smell no fishy taste reduces stress good for joint, eye, heart and brain health. So go nd try this",taste,neutral,-0.0167,0.0
"Guys if ap achi fish oil try krna chahte ho or jispe bad smell bhi na ho to definitely try these capsules nd as you already know about the benefits of the capsules it is very healthy and must have to include in your diet .and plus point is budget friendly. These are higher EPA & DHA more fish oil per capsule than 1000mg standard fish oil capsules no fishy smell no fishy taste reduces stress good for joint, eye, heart and brain health. So go nd try this",health_impact,neutral,0.0,0.0
These multi vitamin and mineral and fish oil tabs are fabulous. It has everything that a women needs to keep her body strong and healthy internally and externally. My wife is happy with this. My wife is happy with this so am I. That's all I want. Don't worry about the money cause every good things has a price. Don't look for cheap products.,price,positive,0.7,0.0
These multi vitamin and mineral and fish oil tabs are fabulous. It has everything that a women needs to keep her body strong and healthy internally and externally. My wife is happy with this. My wife is happy with this so am I. That's all I want. Don't worry about the money cause every good things has a price. Don't look for cheap products.,health_impact,positive,0.2333,0.0
"Been using for over 2 months. Supplement is good quality.  Pill size is large (see image). The 200 qty bottle is also huge, but less expensive when compared to bottles with lower quantities.  The manufacturing process is not mentioned on the bottle or anywhere else. It's advertised as ""Heavy metals tested"".",effectiveness,positive,0.7,0.0
"Been using for over 2 months. Supplement is good quality.  Pill size is large (see image). The 200 qty bottle is also huge, but less expensive when compared to bottles with lower quantities.  The manufacturing process is not mentioned on the bottle or anywhere else. It's advertised as ""Heavy metals tested"".",packaging,neutral,0.0,0.0
Great quality supplement. Highly recommend!,effectiveness,positive,0.8,0.0
The product does not have any side effects on me unlike one of the other very popular brands that gave me blood in my stools (due to constipation). There are no burps after hacing this. NO bad smell either. I hope it is doing its job and giving me the benefits of consuming Omega 3 fatty acids.,effectiveness,positive,0.1767,0.0
The product does not have any side effects on me unlike one of the other very popular brands that gave me blood in my stools (due to constipation). There are no burps after hacing this. NO bad smell either. I hope it is doing its job and giving me the benefits of consuming Omega 3 fatty acids.,taste,positive,0.35,0.0
The product does not have any side effects on me unlike one of the other very popular brands that gave me blood in my stools (due to constipation). There are no burps after hacing this. NO bad smell either. I hope it is doing its job and giving me the benefits of consuming Omega 3 fatty acids.,side_effects,positive,0.1767,0.0
The product does not have any side effects on me unlike one of the other very popular brands that gave me blood in my stools (due to constipation). There are no burps after hacing this. NO bad smell either. I hope it is doing its job and giving me the benefits of consuming Omega 3 fatty acids.,health_impact,negative,-0.2,0.0
"However I don't know how to gauge the effectiveness. I have been having it since 2 months, one pill a day. The product is good, doesn't gives me nasty burps but it can be a little tough pill to swallow. People who aren't a fan of swallowing pills beware! There's an alternate way to consume them, which is by puncturing the pills and mixing the content in juice.",effectiveness,positive,0.7,0.0
"However I don't know how to gauge the effectiveness. I have been having it since 2 months, one pill a day. The product is good, doesn't gives me nasty burps but it can be a little tough pill to swallow. People who aren't a fan of swallowing pills beware! There's an alternate way to consume them, which is by puncturing the pills and mixing the content in juice.",taste,neutral,0.0,0.0
"However I don't know how to gauge the effectiveness. I have been having it since 2 months, one pill a day. The product is good, doesn't gives me nasty burps but it can be a little tough pill to swallow. People who aren't a fan of swallowing pills beware! There's an alternate way to consume them, which is by puncturing the pills and mixing the content in juice.",side_effects,negative,-0.5255,0.0
"However I don't know how to gauge the effectiveness. I have been having it since 2 months, one pill a day. The product is good, doesn't gives me nasty burps but it can be a little tough pill to swallow. People who aren't a fan of swallowing pills beware! There's an alternate way to consume them, which is by puncturing the pills and mixing the content in juice.",authenticity,positive,0.7,0.0
"Nice packaging, nutritious,",packaging,positive,0.6,0.0
There is some flavouring is on the each capsule which made this to consume easily without any foul smell.,taste,positive,0.4333,0.0
Click to play video अच्छा फिश ऑयल। I tried authanticate showing original but don't know know it original or not . Anyway looks good. Bought 200 caps. After 90 days i will edit this. Hope this will work. If works i will buy subcribe and buy again. Expiery date and manufacturing date mentioned well. Nutritional values showes exceptionally well.,delivery,neutral,0.0,0.0
Click to play video अच्छा फिश ऑयल। I tried authanticate showing original but don't know know it original or not . Anyway looks good. Bought 200 caps. After 90 days i will edit this. Hope this will work. If works i will buy subcribe and buy again. Expiery date and manufacturing date mentioned well. Nutritional values showes exceptionally well.,health_impact,positive,0.6667,0.0
This is a good product. I am too prone to cough & cold. But since I consumed it for 4 months I didn’t catch cold even once during all winter season & I feel that my immunity has enhanced.,effectiveness,positive,0.7,0.0
This is a good product. I am too prone to cough & cold. But since I consumed it for 4 months I didn’t catch cold even once during all winter season & I feel that my immunity has enhanced.,health_impact,negative,-0.6,0.0
After using the swiss omega 3 product for 02 months I found the product very nice and efficient and safe for stomach. The product is up to mark and does not have any side effects.,effectiveness,neutral,0.0,0.0
After using the swiss omega 3 product for 02 months I found the product very nice and efficient and safe for stomach. The product is up to mark and does not have any side effects.,side_effects,neutral,0.0,0.0
"Along with regular workouts, I include the fish oil tablets in my routine post every meal.  These capsules are ODOURLESS and rich in Omega-3. Few other reasons to choose these are:  - they are high in EPA & DHA compared to other fish oil capsule than 1000mg - these are absolutely odour free and no after taste - lastly these have improved my hair quality adding more Lustre and less hairfall",taste,positive,0.375,0.0
After using for one and a half month felt not much improvement.Just so-so.,effectiveness,negative,-0.1333,0.0
"The capsules are odourless - the biggest plus! Also, the EPA & DHA ratios are decently balanced. Started consuming these & can say that these capsules are one of the finest I have had. No fishy after taste or fishy burps. Leaving a 4 star just because it could have been priced a little lower than what it is right now.",taste,neutral,0.0,0.0
Good product,effectiveness,positive,0.7,0.0
I had been meaning to buy fish oil capsules and finally got my hands on these Swisse ones. I was surprised to see such a big jar which has 200 capsules. I take one capsule daily for my overall health although different doses are recommended for different purposes (mentioned on the jar). The capsules are quite big in size and hold good nutrient value. They are odourless and do not leave a fishy after taste. Very happy with the product. Totally recommended!,taste,neutral,0.0,0.0
"Great supplement. Am having it daily at night after food. It has higher EPA & DHA and more fish oil per capsule than 1000mg standard fish oil capsules. Best part is no fishy smell and taste . Its good for joint, eye, heart and brain health and reduces stress, which are very important in today's time. Capsule size is bit big but i can swallow it easily.",effectiveness,positive,0.8,0.0
"Great supplement. Am having it daily at night after food. It has higher EPA & DHA and more fish oil per capsule than 1000mg standard fish oil capsules. Best part is no fishy smell and taste . Its good for joint, eye, heart and brain health and reduces stress, which are very important in today's time. Capsule size is bit big but i can swallow it easily.",taste,negative,-0.5,0.0
"Great supplement. Am having it daily at night after food. It has higher EPA & DHA and more fish oil per capsule than 1000mg standard fish oil capsules. Best part is no fishy smell and taste . Its good for joint, eye, heart and brain health and reduces stress, which are very important in today's time. Capsule size is bit big but i can swallow it easily.",health_impact,neutral,0.0,0.0
"I had read some awful reviews about this product, like made in romania, expiry date within a few months, box came opened etc. I just received the product, very well packed, well sealed, expiry 2024, country of origin Australia. So I'm 100% happy with the product. It's what I used to have in Australia exactly. Go ahead buy the product, it's great",effectiveness,negative,-1.0,0.0
"I had read some awful reviews about this product, like made in romania, expiry date within a few months, box came opened etc. I just received the product, very well packed, well sealed, expiry 2024, country of origin Australia. So I'm 100% happy with the product. It's what I used to have in Australia exactly. Go ahead buy the product, it's great",packaging,neutral,0.0,0.0
"I had read some awful reviews about this product, like made in romania, expiry date within a few months, box came opened etc. I just received the product, very well packed, well sealed, expiry 2024, country of origin Australia. So I'm 100% happy with the product. It's what I used to have in Australia exactly. Go ahead buy the product, it's great",authenticity,neutral,0.0,0.0
Quality of the product is good. Highly recommended 👍😊,effectiveness,positive,0.7,0.0
Quality of the product is good. Highly recommended 👍😊,authenticity,positive,0.7,0.0
"These days our lifestyle is such that we cannot get all Nutrients from our diet, so Supplements are must to maintain Immunity and health.. These Swisse ultiboost came handy for our family. I choose them as they are Best Australian Gold standard Health Supplements. They are odorless and leave no fishy flavour..Had these Capsules for a while and they definitely supported Heart,Brain, Eye and Joint Health of my Family Members.",taste,neutral,0.0,0.0
"These days our lifestyle is such that we cannot get all Nutrients from our diet, so Supplements are must to maintain Immunity and health.. These Swisse ultiboost came handy for our family. I choose them as they are Best Australian Gold standard Health Supplements. They are odorless and leave no fishy flavour..Had these Capsules for a while and they definitely supported Heart,Brain, Eye and Joint Health of my Family Members.",health_impact,neutral,0.0,0.0
I don't know about the benefits. I am consuming daily as per their recommendation.,health_impact,neutral,0.0,0.0
No odour or smells good product. Fill good,taste,positive,0.7,0.0
"Very good tablets.  Pros : 1. No odor 2. No gastric effect 3. Effective  Cons: 1. Too big to swallow, might get stuck in throat 2. Box was open , luckily the box was covered in Amazon polythene cover.",effectiveness,positive,0.91,0.0
"Very good tablets.  Pros : 1. No odor 2. No gastric effect 3. Effective  Cons: 1. Too big to swallow, might get stuck in throat 2. Box was open , luckily the box was covered in Amazon polythene cover.",packaging,positive,0.3333,0.0
"Very good tablets.  Pros : 1. No odor 2. No gastric effect 3. Effective  Cons: 1. Too big to swallow, might get stuck in throat 2. Box was open , luckily the box was covered in Amazon polythene cover.",taste,neutral,0.0,0.0
"Very good tablets.  Pros : 1. No odor 2. No gastric effect 3. Effective  Cons: 1. Too big to swallow, might get stuck in throat 2. Box was open , luckily the box was covered in Amazon polythene cover.",side_effects,neutral,0.0,0.0
"I have tried all sorts of fish oil capsules but this one is the best! Its the perfect amount of RDA, my mom who is a anxiety patient and my dad who has joint problems have been taking it. They havent complained one bit esp considering that they are pure veg.",effectiveness,positive,1.0,0.0
"I have tried all sorts of fish oil capsules but this one is the best! Its the perfect amount of RDA, my mom who is a anxiety patient and my dad who has joint problems have been taking it. They havent complained one bit esp considering that they are pure veg.",side_effects,neutral,0.0,0.0
Good Product From Australia & Affordable Price,effectiveness,positive,0.7,0.0
Good Product From Australia & Affordable Price,price,positive,0.7,0.0
"I have tried other omega tablets, it gives a bad fishy burps and taste later. But with Swisse tablet there is no aftertaste. On effects on body, I didn't find any improvement and issues so far.",effectiveness,negative,-0.125,0.0
"I have tried other omega tablets, it gives a bad fishy burps and taste later. But with Swisse tablet there is no aftertaste. On effects on body, I didn't find any improvement and issues so far.",taste,negative,-0.35,0.0
"I have tried other omega tablets, it gives a bad fishy burps and taste later. But with Swisse tablet there is no aftertaste. On effects on body, I didn't find any improvement and issues so far.",side_effects,neutral,0.0,0.0
"I have tried other omega tablets, it gives a bad fishy burps and taste later. But with Swisse tablet there is no aftertaste. On effects on body, I didn't find any improvement and issues so far.",health_impact,neutral,0.0,0.0
Worth for money..,price,positive,0.3,0.0
"To be honest, I didn't notice any difference with my health. I try to be very attentive to changes made by taking vitamins. However, the product was professionally packaged and the product was in good condition. I have no complaints.",packaging,positive,0.4,0.0
"To be honest, I didn't notice any difference with my health. I try to be very attentive to changes made by taking vitamins. However, the product was professionally packaged and the product was in good condition. I have no complaints.",authenticity,positive,0.4,0.0
"To be honest, I didn't notice any difference with my health. I try to be very attentive to changes made by taking vitamins. However, the product was professionally packaged and the product was in good condition. I have no complaints.",health_impact,neutral,0.0,0.0
Good product for healthy lifestyle,effectiveness,positive,0.6,0.0
Good product for healthy lifestyle,health_impact,positive,0.6,0.0
The product is fantastic. I will purchase again once it finished.,effectiveness,positive,0.4,0.0
The product is fantastic. I will purchase again once it finished.,authenticity,positive,0.4,0.0
"There may be a slight stomach upset in the starting, but after regular continuous running, that problem goes away.",side_effects,negative,-0.0833,0.0
"This product does not have a bad smell or any fishy burps. Out of other similar products available I have found this one to be one of the best. I have noticed a difference in my hair, nails, skin, and overall energy.",effectiveness,positive,0.3187,0.0
"This product does not have a bad smell or any fishy burps. Out of other similar products available I have found this one to be one of the best. I have noticed a difference in my hair, nails, skin, and overall energy.",taste,negative,-0.7,0.0
"This product does not have a bad smell or any fishy burps. Out of other similar products available I have found this one to be one of the best. I have noticed a difference in my hair, nails, skin, and overall energy.",side_effects,negative,-0.7,0.0
